neighborhood,borough1,borough2,neighborhoods
Longwood,New York,Bronx,"Longwood, Bronx"
Lower East Side,New York,Manhattan,"Lower East Side, Manhattan"
Marine Park,New York,Brooklyn,"Marine Park, Brooklyn"
Mariner's Harbor,New York,Staten Island,"Mariner's Harbor, Staten Island"
Maspeth,New York,Queens,"Maspeth, Queens"
Meiers Corners,New York,Staten Island,"Meiers Corners, Staten Island"
Middle Village,New York,Queens,"Middle Village, Queens"
Midland Beach,New York,Staten Island,"Midland Beach, Staten Island"
Midtown,New York,Manhattan,"Midtown, Manhattan"
Morris Park,New York,Bronx,"Morris Park, Bronx"
Mott Haven,New York,Bronx,"Mott Haven, Bronx"
Murray Hill,New York,Manhattan,"Murray Hill, Manhattan"
Murray Hill,New York,Queens,"Murray Hill, Queens"
New Dorp Beach,New York,Staten Island,"New Dorp Beach, Staten Island"
New Dorp,New York,Staten Island,"New Dorp, Staten Island"
NoHo,New York,Manhattan,"NoHo, Manhattan"
North Riverdale,New York,Bronx,"North Riverdale, Bronx"
Norwood,New York,Bronx,"Norwood, Bronx"
Ocean Parkway,New York,Brooklyn,"Ocean Parkway, Brooklyn"
Old Town,New York,Staten Island,"Old Town, Staten Island"
Ozone Park,New York,Queens,"Ozone Park, Queens"
Park Slope,New York,Brooklyn,"Park Slope, Brooklyn"
Parkchester,New York,Bronx,"Parkchester, Bronx"
Pelham Bay,New York,Bronx,"Pelham Bay, Bronx"
Pelham Gardens,New York,Bronx,"Pelham Gardens, Bronx"
Port Morris,New York,Bronx,"Port Morris, Bronx"
Port Richmond,New York,Staten Island,"Port Richmond, Staten Island"
Prospect Heights,New York,Brooklyn,"Prospect Heights, Brooklyn"
Prospect Lefferts Gardens,New York,Brooklyn,"Prospect Lefferts Gardens, Brooklyn"
Prospect Park,New York,Brooklyn,"Prospect Park, Brooklyn"
Queens Village,New York,Queens,"Queens Village, Queens"
Randall Manor,New York,Staten Island,"Randall Manor, Staten Island"
Red Hook,New York,Brooklyn,"Red Hook, Brooklyn"
Rego Park,New York,Queens,"Rego Park, Queens"
Richmond Hill,New York,Queens,"Richmond Hill, Queens"
Richmond Town,New York,Staten Island,"Richmond Town, Staten Island"
Richmond Valley,New York,Staten Island,"Richmond Valley, Staten Island"
Riverdale,New York,Bronx,"Riverdale, Bronx"
Rochdale,New York,Queens,"Rochdale, Queens"
Rosebank,New York,Staten Island,"Rosebank, Staten Island"
Rosedale,New York,Queens,"Rosedale, Queens"
Rossville,New York,Staten Island,"Rossville, Staten Island"
Sheepshead Bay,New York,Brooklyn,"Sheepshead Bay, Brooklyn"
Silver Lake,New York,Staten Island,"Silver Lake, Staten Island"
SoHo,New York,Manhattan,"SoHo, Manhattan"
Soundview,New York,Bronx,"Soundview, Bronx"
South Beach,New York,Staten Island,"South Beach, Staten Island"
South Bronx,New York,Bronx,"South Bronx, Bronx"
Spuyten Duyvil,New York,Bronx,"Spuyten Duyvil, Bronx"
St. George,New York,Staten Island,"St. George, Staten Island"
Stapleton,New York,Staten Island,"Stapleton, Staten Island"
Sunnyside,New York,Queens,"Sunnyside, Queens"
Sunnyside,New York,Staten Island,"Sunnyside, Staten Island"
Sunset Park,New York,Brooklyn,"Sunset Park, Brooklyn"
Sutton Place,New York,Manhattan,"Sutton Place, Manhattan"
Throggs Neck,New York,Bronx,"Throggs Neck, Bronx"
Todt Hill,New York,Staten Island,"Todt Hill, Staten Island"
Tottenville,New York,Staten Island,"Tottenville, Staten Island"
Tremont,New York,Bronx,"Tremont, Bronx"
Tribeca,New York,Manhattan,"Tribeca, Manhattan"
Turtle Bay,New York,Manhattan,"Turtle Bay, Manhattan"
Unionport,New York,Bronx,"Unionport, Bronx"
University Heights,New York,Bronx,"University Heights, Bronx"
Upper East Side,New York,Manhattan,"Upper East Side, Manhattan"
Upper West Side,New York,Manhattan,"Upper West Side, Manhattan"
Utopia,New York,Queens,"Utopia, Queens"
Van Nest,New York,Bronx,"Van Nest, Bronx"
Vinegar Hill,New York,Manhattan,"Vinegar Hill, Manhattan"
Wakefield,New York,Bronx,"Wakefield, Bronx"
Washington Heights,New York,Manhattan,"Washington Heights, Manhattan"
West Brighton,New York,Staten Island,"West Brighton, Staten Island"
West Farms,New York,Bronx,"West Farms, Bronx"
West Village,New York,Manhattan,"West Village, Manhattan"
Westchester Heights,New York,Bronx,"Westchester Heights, Bronx"
Westerleigh,New York,Staten Island,"Westerleigh, Staten Island"
Whitestone,New York,Queens,"Whitestone, Queens"
Williamsbridge,New York,Bronx,"Williamsbridge, Bronx"
Williamsburg,New York,Brooklyn,"Williamsburg, Brooklyn"
Willowbrook,New York,Staten Island,"Willowbrook, Staten Island"
Woodlawn,New York,Bronx,"Woodlawn, Bronx"
Woodside,New York,Queens,"Woodside, Queens"
